tconst	directors	writers
tconst	directors	writers
tt0000101	nm0617588	\N
tt0000102	nm0617588	\N
tt0000103	nm0617588	\N
tt0000104	\N	\N
tt0000105	nm0617588	\N
tt0000106	nm0617588	\N
tt0000107	nm0617588	\N
tt0000108	nm0005690	nm0410331
tt0000109	nm0005690	nm0410331
tt0000110	nm0005690	nm0410331
tt0000111	nm0005690	nm0410331
tt0000112	nm0005690	nm0410331
tt0000113	nm0005690	nm0410331
tt0000114	nm0617588	\N
tt0000115	nm0617588	\N
tt0000116	nm0617588	\N
tt0000117	nm0234288	\N
tt0000118	nm0617588	\N
tt0000119	nm0617588	\N
tt0000120	nm0617588	\N
tt0000121	nm0609678	\N
tt0000122	nm0617588	\N
tt0000123	nm0617588	\N
tt0000124	nm0617588	\N
tt0000125	\N	\N
tt0000126	nm0617588	\N
tt0000127	nm0617588	\N
tt0000128	nm0617588	\N
tt0000129	nm0617588	\N
tt0000130	nm0617588	\N
tt0000131	nm0617588	\N
tt0000132	nm0617588	nm0617588
tt0000133	nm0617588	\N
tt0000134	\N	\N
tt0000135	nm0005690	\N
tt0000137	nm0349785	\N
tt0000138	nm0617588	nm0617588
tt0000139	nm0349785	\N
tt0000140	nm0349785	\N
tt0000141	nm0349785	\N
tt0000142	nm0924920	\N
tt0000143	nm0349785	\N
tt0000144	nm0349785	\N
tt0000145	nm0349785	\N
tt0000146	nm0349785	\N
tt0000147	nm0714557	\N
tt0000148	nm0349785	\N
tt0000149	nm0617588	\N
tt0000150	nm0349785	\N
tt0000151	nm0617588	\N
tt0000152	nm0617588	\N
tt0000153	nm0808310	\N
tt0000154	nm0010291	\N
tt0000155	nm0617588	\N
tt0000156	nm0617588	\N
tt0000157	nm0349785	\N
tt0000158	nm0349785	\N
tt0000159	nm0617588	\N
tt0000160	nm0095816	\N
tt0000161	nm0349785	\N
tt0000162	nm0698645	\N
tt0000163	nm0349785	\N
tt0000164	nm0349785	\N
tt0000165	nm0005717	nm0005717
tt0000166	nm0005717	\N
tt0000167	nm0422809	\N
tt0000168	nm0005717	\N
tt0000169	nm0698645	\N
tt0000170	nm0666972	\N
tt0000171	nm0349785	\N
tt0000172	nm0808310	\N
tt0000173	nm0085865	\N
tt0000174	nm0471818	nm0841389
tt0000175	nm0795060	\N
tt0000176	\N	\N
tt0000177	nm0085865	\N
tt0000178	nm0692105	\N
tt0000179	nm0617588	\N
tt0000180	nm0349785	\N
tt0000181	nm0808310	nm0674518
tt0000182	nm0666972	\N
tt0000183	nm0808310	nm0241416
tt0000184	nm0924920	\N
tt0000185	nm0349785	\N
tt0000186	nm0617588	\N
tt0000187	nm0349785	\N
tt0000188	nm0666972	\N
tt0000189	nm0005717	nm0005717
tt0000190	nm0471818	nm0841389
tt0000191	nm0349785	\N
tt0000192	nm0924920	nm0238900
tt0000193	nm0349785	\N
tt0000194	nm0378408	\N
tt0000195	nm0349785	\N
tt0000196	nm0808310	nm0324473
tt0000197	nm0349785	\N
tt0000198	nm0349785	\N
tt0000199	\N	\N
tt0000200	\N	\N
tt0000201	nm0005690	\N
tt0000202	nm0349785	\N
tt0000203	nm0349785	\N
tt0000204	nm0349785	\N
tt0000205	nm0349785	\N
tt0000206	nm0005717	\N
tt0000207	\N	\N
tt0000208	nm0808310	\N
tt0000209	nm0808310	\N
tt0000210	nm0617588	\N
tt0000211	nm0617588	nm0617588
tt0000212	nm0795060	\N
tt0000213	nm0349785	\N
tt0000214	nm0085865	\N
tt0000215	nm0471818	nm0841389
tt0000216	nm0005717	\N
tt0000217	nm0808310	\N
tt0000218	nm0617588	nm0617588
tt0000219	nm0808310	\N
tt0000220	\N	\N
tt0000221	nm0182052	\N
tt0000222	nm0349785	\N
tt0000223	nm0349785	\N
tt0000224	\N	\N
tt0000225	\N	nm0207305
tt0000226	\N	\N
tt0000227	nm4427898	\N
tt0000228	nm0349785	\N
tt0000229	\N	nm0857203
tt0000230	nm0617588	nm0674518
tt0000231	nm0795060	\N
tt0000232	nm0349785	\N
tt0000233	nm0005717	nm0005717
tt0000234	nm0617588	\N
tt0000235	nm0617588	nm0353584
tt0000236	nm0349785	\N
tt0000237	nm0349785	\N
tt0000238	nm0349785	\N
tt0000239	nm0349785	\N
tt0000240	\N	\N
tt0000241	nm0349785	\N
tt0000242	nm0617588	nm0617588
tt0000243	nm0349785	\N
tt0000244	nm0349785	\N
tt0000245	\N	\N
tt0000246	nm0617588	\N
tt0000247	nm0005690,nm2156608,nm0002504	nm0000636,nm0002504
tt0000248	nm0808310	\N
tt0000249	nm0808310	\N
tt0000250	nm0005717	\N
tt0000251	nm0177862	\N
tt0000252	nm0349785	\N
tt0000253	nm0095816	\N
tt0000254	nm0349785	\N
tt0000255	nm0349785	\N
tt0000256	\N	\N
tt0000257	nm0349785	\N
tt0000258	nm0349785	\N
tt0000259	nm0349785	\N
tt0000260	nm0349785	\N
tt0000261	nm0617588	\N
tt0000262	nm0349785	\N
tt0000263	\N	\N
tt0000264	nm0617588	\N
tt0000265	\N	\N
tt0000266	\N	\N
tt0000267	nm0349785	\N
tt0000268	nm0349785	\N
tt0000269	nm0666972	\N
tt0000270	nm0349785	\N
tt0000271	nm0349785	\N
tt0000272	nm0808310	\N
tt0000273	nm0932055	nm0932055
tt0000274	nm0349785	\N
tt0000275	nm0349785	\N
tt0000276	nm0349785	\N
tt0000277	nm0349785	\N
tt0000278	\N	\N
tt0000279	\N	\N
tt0000280	\N	\N
tt0000281	\N	\N
tt0000282	nm0349785	\N
tt0000283	nm0349785	\N
tt0000284	nm0349785	\N
tt0000285	nm0095816	\N
tt0000286	nm0349785	\N
tt0000287	nm0085865,nm0807236	\N
tt0000288	nm0349785	\N
tt0000289	nm0349785	\N
tt0000290	nm0349785	\N
tt0000291	nm0349785	\N
tt0000292	nm0349785	\N
tt0000293	nm0349785	\N
tt0000294	nm0349785	\N
tt0000295	nm0349785	\N
tt0000296	nm0349785	\N
tt0000297	nm0349785	\N
tt0000298	nm0349785	\N
tt0000299	nm0349785	\N
tt0000300	nm0085865	\N
tt0000301	nm0692105	nm0324473
tt0000302	nm0349785	\N
tt0000303	nm0349785	\N
tt0000304	nm0808310	\N
tt0000305	nm0349785	\N
tt0000306	nm0561109	nm0000636
tt0000307	nm0085865	nm1112850
tt0000308	nm0808310	\N
tt0000309	nm0378408	\N
tt0000310	\N	\N
tt0000312	nm0349785	\N
tt0000313	nm0808310	\N
tt0000314	nm0349785	\N
tt0000315	nm0349785	\N
tt0000316	nm0349785	\N
tt0000317	nm0349785	\N
tt0000318	nm0804434	nm0804433
tt0000319	nm0793094	\N
tt0000320	nm0349785	\N
tt0000321	nm0692105	\N
tt0000322	nm0005717	\N
tt0000323	nm0349785	\N
tt0000324	nm0349785	\N
tt0000325	nm0349785	\N
tt0000326	nm0349785	\N
tt0000327	nm0349785	\N
tt0000328	nm0349785	\N
tt0000329	nm0349785	\N
tt0000330	nm0349785	\N
tt0000331	nm0349785	\N
tt0000332	nm0349785	\N
tt0000333	nm0349785	\N
tt0000334	nm0349785	\N
tt0000335	nm0095714,nm0675140	\N
tt0000336	nm0349785	\N
tt0000337	\N	\N
tt0000338	nm0349785	\N
tt0000339	nm0349785	\N
tt0000340	nm0692105	\N
tt0000341	nm0692105	\N
tt0000342	nm0349785	\N
tt0000343	nm0349785	\N
tt0000344	nm0349785	\N
tt0000345	nm0349785	\N
tt0000346	nm0692105	\N
tt0000347	\N	\N
tt0000348	nm0349785	\N
tt0000349	nm0095816	\N
tt0000350	nm0666972	\N
tt0000351	nm0349785	\N
tt0000352	nm0692105	\N
tt0000353	nm0692105	\N
tt0000354	nm0182052	\N
tt0000355	nm0932055	\N
tt0000356	nm0349785	\N
tt0000357	nm0095816	\N
tt0000358	nm0954087	nm0954087
tt0000359	nm0617588	\N
tt0000360	nm0349785	\N
tt0000361	nm0349785	\N
tt0000362	nm0349785	\N
tt0000363	nm0095816	nm0095816
tt0000364	nm0692105	\N
tt0000365	nm0182052	\N
tt0000366	nm0182052	\N
tt0000367	nm0349785	\N
tt0000368	nm0617588	nm0674518
tt0000369	nm0005717	\N
tt0000370	nm0095816	nm1304340,nm0002042
tt0000371	nm0349785	\N
tt0000372	nm0349785	\N
tt0000373	nm0954087	\N
tt0000374	nm0349785	\N
tt0000375	nm0182052	\N
tt0000376	nm0958169	nm0670740
tt0000377	nm0095816	\N
tt0000378	nm0349785	\N
tt0000379	nm0005717	\N
tt0000380	nm0634629,nm0954087	nm0674518
tt0000381	\N	\N
tt0000382	nm0005717	\N
tt0000383	nm0005717	\N
tt0000384	nm0349785	\N
tt0000385	nm0349785	\N
tt0000386	nm0349785	\N
tt0000387	nm0617588,nm0881616	\N
tt0000388	nm0349785	\N
tt0000389	nm0349785	\N
tt0000390	nm0349785	\N
tt0000391	nm0349785	\N
tt0000392	nm0095816	\N
tt0000393	nm0349785	\N
tt0000394	nm0349785	\N
tt0000395	nm0349785	\N
tt0000396	nm0349785	\N
tt0000397	nm0349785	\N
tt0000398	nm0349785	\N
tt0000399	nm2092030,nm0692105	\N
tt0000400	nm0349785	\N
tt0000401	nm0349785	\N
tt0000402	nm0808310	\N
tt0000403	nm0349785	\N
tt0000404	nm0349785	\N
tt0000405	nm0349785	\N
tt0000406	\N	\N
tt0000407	nm0005717	\N
tt0000408	nm0349785	\N
tt0000409	nm0349785	\N
tt0000410	nm0035502	\N
tt0000411	nm0349785	\N
tt0000412	nm0555522	\N
tt0000413	nm0617588	nm0617588
tt0000414	nm0692105	\N
tt0000415	nm0349785	\N
tt0000416	nm0954087	nm0954087,nm0957652
tt0000417	nm0617588	nm0617588,nm0894523,nm0920229
tt0000418	nm0353576	\N
tt0000419	nm0349785	\N
tt0000420	nm0832948,nm0378408	nm0140902,nm0378408
tt0000421	nm0349785	\N
tt0000422	nm0349785	\N
tt0000423	nm0617588	\N
tt0000424	nm0349785	\N
tt0000425	\N	\N
tt0000426	\N	\N
tt0000427	nm0349785	\N
tt0000428	nm0005717	\N
tt0000429	nm0349785	\N
tt0000430	nm0666972	\N
tt0000431	nm0349785	\N
tt0000432	nm0349785	\N
tt0000433	nm0349785	\N
tt0000434	nm0808310	\N
tt0000435	nm0349785	\N
tt0000436	nm0095816,nm0666972	\N
tt0000437	nm0349785	\N
tt0000438	nm0349785	\N
tt0000439	nm0692105	nm1145809,nm0692105
tt0000440	nm0617588	\N
tt0000441	nm0159015	nm0842605,nm0159015
tt0000442	nm0253298	nm1856940,nm1857036
tt0000443	nm0742777	nm3887135,nm0519303
tt0000444	nm0349785	\N
tt0000445	nm0349785	\N
tt0000446	nm0567363	\N
tt0000447	nm0692105,nm2092030	nm0692105
tt0000448	nm0349785	\N
tt0000449	nm0349785	\N
tt0000450	nm0349785	\N
tt0000451	nm0808310	\N
tt0000452	nm0692105	\N
tt0000453	nm0349785	\N
tt0000454	nm0349785	\N
tt0000455	nm0617588	\N
tt0000456	\N	\N
tt0000457	nm0349785	\N
tt0000458	nm0349785	\N
tt0000459	\N	\N
tt0000460	nm0567363	\N
tt0000461	nm0349785	\N
tt0000462	nm0349785	\N
tt0000463	nm0005717	\N
tt0000464	nm0005690	nm0099105,nm0005690,nm0410331,nm0420198
tt0000465	nm0617588	nm0617588,nm1340310
tt0000466	nm0349785	\N
tt0000467	nm0349785	\N
tt0000468	nm0349785	\N
tt0000469	nm0808310	\N
tt0000470	nm0349785	\N
tt0000471	nm0692105	nm0832952
tt0000472	nm0002615	nm0832952
tt0000473	nm0349785	\N
tt0000474	nm0349785	\N
tt0000475	nm0095816	\N
tt0000476	nm0349785	\N
tt0000477	nm0349785	\N
tt0000478	nm0172118	\N
tt0000479	nm0666972	\N
tt0000480	nm0617588	\N
tt0000481	\N	\N
tt0000482	nm0349785	\N
tt0000483	nm0349785	\N
tt0000484	nm0349785	\N
tt0000485	nm0349785	\N
tt0000486	nm0085865	nm0850483
tt0000487	nm0002615	\N
tt0000488	nm0789748	nm0794919
tt0000489	nm0349785	\N
tt0000490	nm0349785	\N
tt0000491	\N	\N
tt0000492	nm0567363	\N
tt0000493	nm0349785	\N
tt0000494	nm0349785	\N
tt0000495	nm0954087	\N
tt0000496	\N	\N
tt0000497	\N	\N
tt0000498	nm0378408,nm0280432	nm1539443
tt0000499	nm0617588	nm0617588,nm0894523,nm0257866
tt0000500	\N	\N
tt0000501	nm0085865	nm0236279,nm0509478
tt0000502	nm0063413	nm0063413,nm0657268,nm0675388
tt0000503	nm0185426	\N
tt0000504	nm0185426	nm0185426
tt0000505	nm1563072,nm0381874	nm0381874
tt0000506	nm0353576	\N
tt0000507	\N	\N
tt0000508	nm0185426	nm0185426
tt0000509	nm1563072	nm0381874
tt0000510	nm0063413	nm0063413
tt0000511	nm0349785,nm0419327	nm0401076
tt0000512	\N	\N
tt0000513	nm0185426	\N
tt0000514	nm0005717	nm0005717
tt0000515	nm0159015	nm0159015
tt0000516	nm0159015	\N
tt0000517	nm0063413	\N
tt0000518	\N	nm0159015
tt0000519	nm0692105	\N
tt0000520	nm0353576	\N
tt0000521	nm0692105	\N
tt0000522	\N	\N
tt0000523	\N	\N
tt0000524	nm0005658	\N
tt0000525	nm0243796	\N
tt0000526	\N	\N
tt0000527	nm0185426	nm0185426
tt0000528	nm0001908	nm0696078,nm0395216
tt0000529	\N	\N
tt0000530	nm0159015	nm0159015
tt0000531	nm0159015	nm0159015
tt0000532	nm0185426	nm0185426
tt0000533	\N	\N
tt0000534	nm0095816	\N
tt0000535	nm0488932	nm0488932
tt0000536	nm6758605,nm0582268	\N
tt0000537	\N	\N
tt0000538	nm0005717	\N
tt0000539	nm0647763	\N
tt0000540	\N	\N
tt0000541	nm0488932	nm0630737
tt0000542	nm0005717	nm0005717
tt0000543	nm0647763	\N
tt0000544	nm1210247	\N
tt0000545	\N	\N
tt0000546	nm0692105,nm0567363	nm0565560
tt0000547	nm0005717	nm0005717
tt0000548	nm0488932	nm0647763
tt0000549	nm0488932	\N
tt0000550	nm0647763	\N
tt0000551	\N	\N
tt0000552	nm0095816	\N
tt0000553	nm0085865	\N
tt0000554	nm0085865	\N
tt0000555	nm0488932	nm0630737
tt0000556	nm0488932	\N
tt0000557	nm0692105	nm0601940
tt0000558	nm0005717	\N
tt0000559	nm0354726	\N
tt0000560	nm0005717	\N
tt0000561	nm0692105	\N
tt0000562	\N	\N
tt0000563	\N	\N
tt0000564	nm0085865	nm0002042
tt0000565	nm0692105	nm0601061
tt0000566	nm0488932,nm0354726	\N
tt0000567	nm0617588	nm0182945,nm9551905
tt0000568	\N	\N
tt0000569	nm0488932	\N
tt0000570	\N	\N
tt0000571	nm0085865	\N
tt0000572	nm0063413	nm0063413
tt0000573	nm0488932	\N
tt0000574	nm0846879	nm0846879
tt0000575	nm0617588	nm0894523
tt0000576	nm0159015	\N
tt0000577	nm0488932	\N
tt0000578	nm0001908	nm0001908
tt0000579	nm0001908	\N
tt0000580	nm0180860	\N
tt0000581	\N	\N
tt0000582	nm0646058,nm0741382	nm0310155,nm0908753
tt0000583	nm0488932	nm0241414
tt0000584	nm0305591,nm0191133	nm0191133
tt0000585	nm0005717	\N
tt0000586	nm0085865	\N
tt0000587	\N	\N
tt0000588	nm0488932,nm0526168	\N
tt0000589	\N	\N
tt0000590	nm0567363	\N
tt0000591	nm0141150	nm0141150
tt0000592	nm0180466,nm0180492	\N
tt0000593	nm0005717	nm0005717
tt0000594	nm0488932	\N
tt0000595	nm0488932	\N
tt0000596	nm0488932	nm0026153
tt0000597	nm0159015,nm0954087	\N
tt0000598	nm0617588	nm0000636
tt0000599	\N	\N
tt0000601	nm0691994	nm0003471
tt0000602	nm0488932	nm0630737
tt0000603	nm0085865	\N
tt0000604	nm0488932	\N
tt0000605	\N	nm1003261
tt0000606	\N	\N
tt0000607	nm0194088	nm0194088
tt0000608	nm0488932	\N
tt0000609	nm0892614,nm0143333	nm0000636
tt0000610	nm0691994	nm0000636
tt0000611	nm0091767	\N
tt0000612	nm0005717	\N
tt0000613	nm0274368	\N
tt0000614	nm0159015,nm0954087	nm0159015
tt0000615	nm0533958	nm0092809,nm0533958
tt0000616	nm0005717	\N
tt0000617	nm0488932	nm0630737
tt0000618	nm0817086,nm0700930	nm0817086,nm0882755
tt0000619	\N	\N
tt0000620	nm0488932	\N
tt0000621	nm0280432	\N
tt0000622	nm0005717,nm0194088	nm0005717,nm0347320
tt0000623	nm0488932	\N
tt0000624	\N	\N
tt0000625	nm0005717	\N
tt0000626	\N	\N
tt0000627	nm0567363	nm0000428
tt0000628	nm0000428,nm0005658	nm0853193
tt0000629	nm0000428	nm0855139,nm0940488
tt0000630	nm0143333	nm0000636
tt0000631	nm0173774	nm0000636
tt0000632	nm0005717	nm0005717,nm0900293
tt0000633	nm0294276	\N
tt0000634	nm0085865,nm0448682	nm0000636
tt0000636	nm0119138	nm0310155,nm0000636
tt0000637	nm0130633,nm0494039	nm0491819
tt0000638	nm1266490	nm0000428
tt0000639	nm0567363	\N
tt0000640	nm0000428	nm0000428
tt0000641	nm0000428	nm0000428
tt0000642	nm0000428	nm0000428
tt0000643	nm0085865	nm0926514,nm0509478
tt0000644	nm0000428	nm0000428
tt0000645	nm0000428	nm0000428
tt0000646	\N	\N
tt0000647	\N	\N
tt0000648	nm0000428,nm1266490	\N
tt0000649	nm0567363	\N
tt0000650	nm0692105	nm0169009
tt0000651	nm0567363	\N
tt0000653	nm0000428	nm0000428
tt0000654	nm0000428	nm0000428
tt0000655	nm0005717	nm0005717
tt0000656	nm0600341	\N
tt0000657	nm0005717	\N
tt0000658	nm0169871	\N
tt0000659	nm0567363	\N
tt0000660	nm0000428	nm0000428
tt0000661	nm0617588	\N
tt0000662	nm0567363	\N
tt0000663	nm0000428	nm0000428
tt0000664	nm0005717	nm0005717
tt0000665	nm0000428	nm0000428
tt0000666	nm0005717	\N
tt0000667	nm0005717	\N
tt0000668	nm0675544,nm0091767	nm0241416
tt0000669	nm0205986	\N
tt0000670	nm0194088	nm0148859,nm0194088
tt0000671	nm0691994	\N
tt0000672	nm0000428	nm0000428
tt0000673	nm0422930,nm0005717	nm0271357,nm0005717
tt0000674	nm0063413,nm0550220	nm0063413,nm0550220,nm0957979
tt0000675	nm0194088	nm0148859
tt0000676	nm0194088	nm0729044
tt0000677	nm0692105	nm0692105
tt0000678	nm0005717	nm0005717
tt0000679	nm0091767,nm0877783	nm0000875,nm0877783
tt0000680	nm0567363	\N
tt0000681	nm0567363	\N
tt0000682	nm0169871	\N
tt0000683	nm0000428	nm0000428
tt0000684	nm0000428	nm0000428
tt0000685	nm0000428	nm0000428
tt0000686	nm0005717	nm0005717
tt0000687	nm0646058	\N
tt0000688	nm0111753	\N
tt0000689	nm0000428	nm0000428,nm0518711
tt0000690	nm0000428	nm0000428
tt0000691	\N	\N
tt0000692	nm0303066	\N
tt0000693	nm0005717	nm0005717
tt0000694	nm0000428	nm0000428
tt0000695	nm0000428	nm0000428,nm0853193
tt0000696	nm0005717	nm0005717
tt0000697	nm0000428	nm0000428
tt0000698	nm0000428	nm0000428,nm0366610
tt0000699	nm0000428	nm0000428
tt0000700	nm0567363	\N
tt0000701	nm0567363	nm0940488
tt0000703	nm0567363	nm0310155
tt0000704	nm0085865,nm0807236	nm0085865
tt0000705	nm0185426	\N
tt0000706	nm0000428	nm0000428,nm13388805,nm0786076
tt0000707	nm0000428	nm0000428
tt0000708	nm0567363	\N
tt0000709	nm0085865,nm0710362	nm0509478,nm0000636
tt0000711	nm0567363	nm2088653,nm0853193
tt0000712	nm0567363	\N
tt0000713	nm0567363	\N
tt0000714	nm0111753	nm0902731
tt0000715	nm0692105	nm0001908
tt0000716	\N	nm0226992,nm0642722
tt0000717	nm0085865	nm0000636
tt0000718	nm0085865	\N
tt0000719	nm0005717	\N
tt0000720	nm0000428	nm0000428
tt0000721	nm0567363	\N
tt0000722	nm0353576	\N
tt0000723	nm0168503,nm0005717	nm0312148,nm0347320
tt0000724	nm0085865	nm0509478,nm0000636
tt0000725	nm0567363	nm0000428
tt0000726	nm0005717	\N
tt0000727	nm0000428	nm0784407
tt0000728	nm0000428	nm0000428
tt0000729	\N	\N
tt0000730	nm0000428	nm0000428
tt0000731	nm0000428	nm0000428,nm0940488
tt0000732	nm0567363	nm0000428
tt0000733	nm0567363	nm0000428
tt0000734	nm0710362	nm0000636
tt0000736	nm0567363	nm0000428
tt0000737	nm0853193	nm0137414
tt0000738	\N	\N
tt0000739	nm0191133	\N
tt0000740	nm0000428	nm0000428,nm0853193
tt0000741	nm0000428	nm0000428
tt0000742	nm0294276	\N
tt0000743	nm0567363	\N
tt0000744	nm0567363	\N
tt0000745	\N	nm0001908
tt0000746	nm0000428	nm0150432,nm0191885,nm0000428,nm0940488
tt0000747	nm0000428	nm0000428,nm0853193
tt0000748	nm0000428	nm0000428,nm0366610
tt0000749	nm0205986	\N
tt0000750	nm0710362,nm0085865	nm0000636
tt0000751	nm0091767	nm0120272,nm0877783
tt0000752	nm0000428	nm0000428
tt0000753	nm0567363	nm0226992,nm0310155
tt0000754	nm0085865	nm0000636
tt0000755	nm0617588	\N
tt0000756	nm0567363	\N
tt0000757	nm0692105	nm0353584,nm0692105
tt0000758	nm0488932	\N
tt0000759	nm0488932	\N
tt0000760	nm0488932	\N
tt0000761	nm0005717	\N
tt0000762	nm0000428	nm0000428
tt0000763	nm0567363	\N
tt0000764	nm0000428	nm0000428,nm0393524,nm0940488
tt0000765	nm0567363	\N
tt0000766	nm0111753	\N
tt0000767	nm0000428	nm0000428
tt0000768	nm0488932	\N
tt0000769	nm0617588	\N
tt0000770	nm0000428	nm0000428,nm0000636,nm0813603
tt0000771	nm0000428	\N
tt0000772	nm0000428	nm0000428
tt0000773	nm0567363	\N
tt0000774	nm0294276	\N
tt0000775	nm0243796	\N
tt0000776	nm0535957,nm0024464	nm0120272,nm0648372
tt0000777	nm0692105	\N
tt0000778	nm0000428	nm0000428
tt0000779	nm0000428	nm0000428
tt0000780	nm0488932	\N
tt0000781	nm0085865	\N
tt0000782	nm0808310	\N
tt0000783	nm0567363	nm0000428,nm0538186
tt0000784	nm0567363	nm0000428
tt0000785	nm0000428	nm0000428,nm0853193
tt0000786	\N	\N
tt0000787	nm0000428	nm0000428
tt0000788	nm0567363	\N
tt0000789	nm0000428	nm0000428
tt0000790	nm0095816	nm0095816
tt0000791	nm0194088	\N
tt0000792	nm0000428	nm0000428
tt0000793	nm0081288,nm0691994	\N
tt0000794	nm0022607	\N
tt0000795	nm0111753	\N
tt0000796	\N	\N
tt0000797	nm0000428	nm0000428
tt0000798	nm0294276	\N
tt0000799	nm0646844	nm0646844,nm0959358
tt0000800	nm0000428	nm0681933
tt0000801	nm0000428	nm0000428
tt0000802	nm0294276	\N
tt0000803	nm0488932	\N
tt0000804	\N	\N
tt0000805	nm0005717	nm0005717
tt0000806	nm0001908	nm0001908
tt0000807	nm0000428	nm0853193
tt0000808	nm0111753	nm0111753
tt0000809	nm0000428	\N
tt0000810	nm0001908	\N
tt0000811	nm0294276	\N
tt0000812	nm0185426	\N
tt0000813	nm0205986	nm0205986,nm0674518
tt0000814	nm0185426	\N
tt0000815	nm0000428	nm0000428
tt0000816	nm0000428	nm0000428
tt0000817	nm0488932	\N
tt0000818	nm0294276	\N
tt0000819	nm0000428	nm0000428
tt0000820	nm0063413	\N
tt0000821	nm0000428	\N
tt0000822	nm0063413,nm0550220	\N
tt0000823	nm0000428	nm0940488
tt0000824	nm0692105	nm0692105
tt0000825	nm0000428	nm0000428
tt0000826	nm0000428	nm0000428
tt0000827	nm0000428	nm0853193
tt0000828	nm0000428	nm0000428
tt0000829	nm0000428	nm0000428
tt0000830	nm0097769,nm0005717	nm0097769
tt0000831	nm0000428	nm0000428
tt0000832	nm0000428	nm0000428,nm0635805,nm0940488
tt0000833	nm0000428	nm0000428
tt0000834	nm0294276	\N
tt0000835	nm0000428	nm0002042,nm0940488
tt0000836	nm0180860,nm0274368	\N
tt0000837	nm0000428	nm0000428
tt0000838	nm0017074	\N
tt0000839	nm0294276	\N
tt0000840	nm0000428,nm0784407	nm0005658,nm0000428,nm0784407
tt0000841	nm0000428	nm0681933
tt0000842	nm0005717	\N
tt0000843	nm0000428	nm0878494,nm0940488
tt0000844	nm0327201	nm0327201,nm0866239
tt0000845	nm0000428	\N
tt0000846	nm0023107	\N
tt0000847	nm0093361	nm0093361
tt0000848	nm0617588	\N
tt0000849	nm0550220,nm0063413	\N
tt0000850	nm0063413,nm0550220	nm0063413,nm0550220
tt0000851	nm0000428	nm0000428
tt0000852	nm0000428	nm0000428
tt0000853	nm0000428	nm0000428
tt0000854	nm0000428	nm0000428,nm0940488
tt0000855	nm0000428	nm0000428
tt0000856	nm0023107	\N
